originx,originy,origin,destinationx,destinationy,destination
-36.90234083,174.7719801,33 PAH RD,-36.90127512,174.77229563,2 PUKEHANA AVE
-36.87663352,174.74972888,30 CROMWELL ST,-36.87674945,174.7496981,30A CROMWELL ST
-36.89856835,174.80241688,1 WAIOHUA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90124607,174.81039022, CAWLEY ST,-36.8646979,174.759153,230 SYMONDS ST
-36.86666875,174.741218,424 GREAT NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87408722,174.78361145,122 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8736627,174.73843122,568 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90962683,174.80863417,40 WALLS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8876673,174.74743467,594 DOMINION RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88135052,174.76280745,4 STOKES RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8477545,174.8291564, TAMAKI DR,-36.8646979,174.759153,230 SYMONDS ST
-36.87605913,174.74995403,20 CROMWELL ST,-36.8646979,174.759153,230 SYMONDS ST
-36.86627537,174.75870923,3 KORARI ST,-36.86627537,174.75870923,3 KORARI ST
-36.89571095,174.70851193,39 HENDON AVE,-36.89875003,174.71363932, HENDON AVE
-36.87091515,174.7634141,14 NORMANBY RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87239485,174.76743065,8 CLIVE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8727927,174.74275377,506 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86942993,174.77816685, BROADWAY,-36.8646979,174.759153,230 SYMONDS ST
-36.889761,174.69664695, GREAT NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86106448,174.75233137, CHAPMAN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8688427,174.75922382,12 AKIRAHO ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91022242,174.75542877,4 HAYR RD,-36.91028332,174.75561945,6 HAYR RD
-36.84620933,174.86225192,43 CLIFF RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87013335,174.8015713,15 MAHOE AVE,-36.86997448,174.80196962,20 MAHOE AVE
-36.89545927,174.70346208,1217 NEW NORTH RD,-36.89508223,174.70565967,7 BOLLARD AVE
-36.94383372,174.64819692,96 HUIA RD,-36.86294513,174.70672465,265 MEOLA RD
-36.85999445,174.75078405, MAIDSTONE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8547946,174.74071042, LINCOLN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.88243405,174.73704067,20 AROHA AVE,-36.88237595,174.73801413,9 AROHA AVE
-36.88186163,174.73638133,29 AROHA AVE,-36.88237595,174.73801413,9 AROHA AVE
-36.88186163,174.73638133,29 AROHA AVE,-36.88256372,174.73866263,1 AROHA AVE
-36.88958992,174.7902427, TAWERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8063745,174.7539355, SYLVAN AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.86385097,174.75385375,17 SUFFOLK ST,-36.8663262,174.74222262,390 GREAT NORTH RD
-36.87224803,174.75609772, WYNYARD RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85608722,174.74407828,31 BROWN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.87084553,174.78187042, MAMIE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.90084417,174.79930687, WAIOHUA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88941492,174.7106854,1062 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8661876,174.7581844,70 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.89494875,174.83669177, BURT RD,-36.8276939,174.78774558, RUTLAND RD
-36.89559597,174.70482468, NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88932427,174.63770248,59 VIEW RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91404473,174.77776962, MANUKAU RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86032168,174.75095528,4 MAIDSTONE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.87179035,174.74364033,16 FIRST AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.85857265,174.74479627, ROSE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91573912,174.7964902,9 CURZON ST,-36.91613663,174.7965458,5 CURZON ST
-36.9088675,174.55035538, MOUNTAIN RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87058527,174.74796215,399 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8823797,174.7152018, PROSPERO TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.87221585,174.79395883,17 LEYS CRES,-36.87221585,174.79395883,17 LEYS CRES
-36.85648642,174.74226845, BROWN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.90497267,174.80475457, ROCKFIELD RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86809278,174.77542918, KENT ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8539397,174.73464913, RICHMOND RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86965128,174.75679493,9 WYNYARD RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86815553,174.77575333,15 KENT ST,-36.8646979,174.759153,230 SYMONDS ST
-36.87025595,174.74718567, BOND ST,-36.8646979,174.759153,230 SYMONDS ST
-36.90306027,174.7599738, MOUNT EDEN RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86975457,174.75730518,14 WYNYARD RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87361182,174.75880038, VIEW RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90310052,174.81754565, GAVIN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89619428,174.8440661,8 MOUNTAIN RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87379347,174.7818578, REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87267155,174.73434552, FINCH ST,-36.87267155,174.73434552, FINCH ST
-36.85840592,174.74296438,61 ROSE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88220652,174.79426947,16 ARMADALE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87269747,174.7799362,81A REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90140373,174.74003267, CAMBRAI AVE,-36.90140373,174.74003267, CAMBRAI AVE
-36.88037515,174.8123946,575 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87255255,174.82834078,12 BLACKETT CRES,-36.87214007,174.82735732,22 BLACKETT CRES
-36.87265357,174.82847543,10 BLACKETT CRES,-36.87217935,174.82666798,48 TEMPLE ST
-36.92188722,174.76185567, STEPHEN LYSNAR PL,-36.92102003,174.76312847,7 STEPHEN LYSNAR PL
-36.87241012,174.82899888,2A FANCOURT ST,-36.87111898,174.83008517,28 APPLEYARD CRES
-36.87255255,174.82834078,12 BLACKETT CRES,-36.87027782,174.8268183,72 TEMPLE ST
-36.87255255,174.82834078,12 BLACKETT CRES,-36.8701428,174.82678213,74 TEMPLE ST
-36.92188722,174.76185567, STEPHEN LYSNAR PL,-36.8646979,174.759153,230 SYMONDS ST
-36.87182975,174.74350913,18 FIRST AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.89227823,174.72603117,102 TAUMATA RD,-36.89214878,174.7259496,104 TAUMATA RD
-36.97009908,174.8678975,1 HAMILTON RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8020247,174.77740745, FRANCIS ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91938113,174.7577293,161 HILLSBOROUGH RD,-36.93193615,174.73356788, HILLSBOROUGH RD
-36.87062613,174.74045832, THIRD AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.946701,174.66152522, VALLEY RD,-36.71209488,174.7473384,17 VALLEY RD
-36.8632677,174.73783707,7 PRIME RD,-36.86313263,174.73804728,11 PRIME RD
-36.8671664,174.77203853, MAUNGAWHAU RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87147773,174.77773965, NUFFIELD ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89707282,174.74402607,863 DOMINION RD,-36.8646979,174.759153,230 SYMONDS ST
-36.9007245,174.80413278,8 ROCKFIELD RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86666962,174.81985385,2 PUROTO ST,-36.8646979,174.759153,230 SYMONDS ST
-36.87952602,174.73479597,32 MORNINGSIDE DR,-36.8646979,174.759153,230 SYMONDS ST
-36.87841587,174.73531253,26 MORNINGSIDE DR,-36.8646979,174.759153,230 SYMONDS ST
-36.87388437,174.76092715,9 VIEW RD,-36.8646979,174.759153,230 SYMONDS ST
-36.89298267,174.72733595,80 TAUMATA RD,-36.89298267,174.72733595,80 TAUMATA RD
-36.86722273,174.82229958,9 KAPUA ST,-36.86709988,174.8222362,11 KAPUA ST
-36.86033155,174.70963193,75 WAINUI AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.8676235,174.77204423,8 MAUNGAWHAU RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87337763,174.7407957,538 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90215213,174.82903667, FERNDALE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.92116488,174.7926344, VICTORIA ST,-36.86312165,174.76795997, PARK AVE
-36.86434863,174.76000718,10 DUNDONALD ST,-36.8646979,174.759153,230 SYMONDS ST
-36.88326295,174.73869745, SANDRINGHAM RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88640937,174.75088003,14 TENTERDEN AVE,-36.88721712,174.75056752, TENTERDEN AVE
-36.87212698,174.76012655, ESPLANADE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85442648,174.7065323,1 BANGOR ST,-36.85428492,174.70651082,3 BANGOR ST
-36.8645025,174.78100597,10 SARAWIA ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91030633,174.84700542, JAMES WALTER PL,-36.91037955,174.8477835,17 JAMES WALTER PL
-36.88294243,174.85674072, APIRANA AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.93375437,174.84858012,53 WALTERS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90848635,174.82195373,47 PORTMAN RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86462503,174.76093238,224 SYMONDS ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91483202,174.77536812, SYMONDS ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8702517,174.77763592,278 BROADWAY,-36.8646979,174.759153,230 SYMONDS ST
-36.89283827,174.7372712,99 LAMBETH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86917412,174.7832583, BASSETT RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86689865,174.75460662,12 MINNIE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.92727287,174.71571455,3 ALAUNIA PL,-36.8646979,174.759153,230 SYMONDS ST
-36.86185587,174.75296938,15 BURGOYNE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89965813,174.81064557,17 FINDLAY ST,-36.89980937,174.81103612,21 FINDLAY ST
-36.91196325,174.73278475, MAY RD,-36.91196325,174.73278475, MAY RD
-36.88183578,174.80705407,532 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8816882,174.76315002,5 STOKES RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86966977,174.72787525,54 BANNERMAN RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86942993,174.77816685, BROADWAY,-36.8663262,174.74222262,390 GREAT NORTH RD
-36.88177722,174.7738721, BRACKEN AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.89674705,174.79920638, WILLIAM AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.87152213,174.65316407, DEVON ST,-36.98344732,174.85470428, EVELYN ST
-36.85707197,174.7452104,16 RICHMOND RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90095435,174.67241613, NIKAU ST,-36.8646979,174.759153,230 SYMONDS ST
-36.88757397,174.7470718, DOMINION RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88935297,174.74806963, HALSTON RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85473142,174.81605648, PAORA ST,-36.85473142,174.81605648, PAORA ST
-36.87987243,174.77418017, KIPLING AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.89820637,174.8067224, KALMIA ST,-36.8646979,174.759153,230 SYMONDS ST
-36.85868253,174.61886285, ASCOT AVE,-36.8847776,174.80152405,43 ASCOT AVE
-36.8695987,174.74945047,354 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87221012,174.74459767,460 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.89115533,174.70853573,1126 NEW NORTH RD,-36.89375947,174.70817223,18 ENNISMORE RD
-36.87251763,174.7436299,486 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86884062,174.75903313,14 AKIRAHO ST,-36.8646979,174.759153,230 SYMONDS ST
-36.87805177,174.73622775,42 KENNETH AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.85575753,174.73377105, SACKVILLE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8896012,174.70962528,1099 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85603763,174.75035887,21 HEPBURN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89473204,174.72835944,193 MOUNT ALBERT RD,-36.89473204,174.72835944,193 MOUNT ALBERT RD
-36.89250862,174.84231393,23 GOLLAN RD,-36.8927844,174.8420379,16 GOLLAN RD
-36.8555072,174.74292732,39 DOUGLAS ST,-36.8646979,174.759153,230 SYMONDS ST
-36.87657178,174.74975033,28 CROMWELL ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8816244,174.76427727, STOKES RD,-36.8646979,174.759153,230 SYMONDS ST
-36.89576392,174.74483302,882 DOMINION RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90999175,174.72360575,7A SALLY CRES,-36.90932505,174.72315097,13 JOHN DAVIS RD
-36.87987117,174.75346468, PROSPECT TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.91194318,174.75473503, HAYR RD,-36.91194318,174.75473503, HAYR RD
-36.91893293,174.81432098, BEASLEY AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.83005703,174.79879283, BUCHANAN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89153825,174.7279005,9 HAMPSTEAD RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86483065,174.7590848, BASQUE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86466002,174.73261257,699 GREAT NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87853782,174.82335728,737 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91040505,174.84593407,4 JAMES WALTER PL,-36.9106284,174.84630175,3 JAMES WALTER PL
-36.91851382,174.71182863,21 LETTERKENNY PL,-36.8663262,174.74222262,390 GREAT NORTH RD
-36.86736518,174.82237142,7 KAPUA ST,-36.86736518,174.82237142,7 KAPUA ST
-36.8672107,174.74976675,16 MOSTYN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.86756823,174.79904322, VICTORIA AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.8555181,174.74262975, DOUGLAS ST,-36.8646979,174.759153,230 SYMONDS ST
-36.87190265,174.74130085,7 KINGSLAND AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.91272393,174.75086758,67 CARR RD,-36.91272393,174.75086758,67 CARR RD
-36.89888822,174.80274985,2 WAIOHUA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91239527,174.82149108,4 HOLLOWAY PL,-36.8646979,174.759153,230 SYMONDS ST
-36.88648325,174.7621769,13 WINDMILL RD,-36.88707135,174.76286458,21 WINDMILL RD
-36.9132599,174.8466925, MATANGI RD,-36.8646979,174.759153,230 SYMONDS ST
-36.9124658,174.81180933,10 OLIVE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87124622,174.7759034, MORTIMER PASS,-36.8646979,174.759153,230 SYMONDS ST
-36.89344207,174.79606627, ATARANGI RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91331747,174.72836895,449 RICHARDSON RD,-36.91205657,174.72902083,10 MCGOWAN ST
-36.93193615,174.73356788, HILLSBOROUGH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88647297,174.71339972,1008 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87794193,174.73674157,40 LESLIE AVE,-36.87827382,174.73680307,37 KENNETH AVE
-36.891977,174.73762197,10 CALGARY ST,-36.891977,174.73762197,10 CALGARY ST
-36.90762668,174.7230594,353 RICHARDSON RD,-36.90697347,174.72298722,344 RICHARDSON RD
-36.86381012,174.75895393, EXMOUTH ST,-36.8646979,174.759153,230 SYMONDS ST
-36.93171582,174.84967162, KOTAHI RD,-36.9314729,174.84938172,20 KOTAHI RD
-36.91200827,174.71503558,22 MARY DREAVER ST,-36.91203835,174.71431297,34 MARY DREAVER ST
-36.89489973,174.8099406, LADIES MILE,-36.89490753,174.81082687,156 LADIES MILE
-36.87099783,174.74906455, TAWARI ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89604537,174.72964772, THOMSON ST,-36.89637853,174.72987735,3 THOMSON ST
-36.86130913,174.74634027,55 CRUMMER RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86873005,174.77408982, SECCOMBES RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86937803,174.75699548,12 WYNYARD RD,-36.86928245,174.75692222,10 WYNYARD RD
-36.69562617,174.7606825, CLIFF RD,-36.84467488,174.86427328,32 SPRINGCOMBE RD
-36.89422265,174.7065729,5 HENDON AVE,-36.89490997,174.70747365,19 HENDON AVE
-36.86774967,174.75085462, MOSTYN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91599963,174.8484015,5 BOWDEN RD,-36.9167502,174.84924338,2 TIMARU PL
-36.86754445,174.75245357, AITKEN TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.91599963,174.8484015,5 BOWDEN RD,-36.91671578,174.8487431,3 TIMARU PL
-36.91584077,174.84928857,9 BOWDEN RD,-36.91584077,174.84928857,9 BOWDEN RD
-36.87152213,174.65316407, DEVON ST,-36.8646979,174.759153,230 SYMONDS ST
-36.86666962,174.81985385, PUROTO ST,-36.8646979,174.759153,230 SYMONDS ST
-36.85731178,174.74579928, SCANLAN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.84541697,174.73931328, CLARENCE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.87334367,174.78234352,104 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87861172,174.7499767,OPP 321 DOMINION RD,-36.87931183,174.75084387,91 PROSPECT TCE
-36.84796398,174.83514345,OPP 135 TAMAKI DR,-36.8646979,174.759153,230 SYMONDS ST
-36.87899592,174.75023815,336 DOMINION RD,-36.87931183,174.75084387,OPP 91 PROSPECT TCE
-36.88176015,174.76344753,7 STOKES RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86011032,174.74926592, POLLEN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.90981615,174.75600988, MOUNT ALBERT RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8844517,174.64237653,262 GREAT NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.89489973,174.8099406, LADIES MILE,-36.8646979,174.759153,230 SYMONDS ST
-36.86230437,174.78763608, BRIGHTON RD,-36.86230437,174.78763608, BRIGHTON RD
-36.90896483,174.78618075, AMARU RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86523485,174.76373968, NUGENT ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91209613,174.84044025,35 LYNTON RD,-36.8663262,174.74222262,390 GREAT NORTH RD
-36.94635418,174.81222862,15 NORANA AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.88648325,174.7621769,13 WINDMILL RD,-36.88648325,174.7621769,OPP 13 WINDMILL RD
-36.88262217,174.75896403,23 GRANGE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88197463,174.77565457,195 MANUKAU RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87154288,174.74618682,435 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.92372065,174.75313978,224 HILLSBOROUGH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88197463,174.77565457,OPP 195 MANUKAU RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8688062,174.75059307,339 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91022242,174.75542877,4 HAYR RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86036633,174.74484703,43 WILLIAMSON AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.88563477,174.74962167, DEXTER AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.87055525,174.73785207,15 SCHOOL RD,-36.8705363,174.73754932,56 SCHOOL RD
-36.8915681,174.82391377,112 MARUA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87632928,174.743682,21 REIMERS AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.87643747,174.7438296,23 REIMERS AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.93422173,174.84736427,26 WALTERS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.80840417,174.7319232,16 PARK AVE,-36.80840417,174.7319232,16 PARK AVE
-36.86771743,174.77449802, MELROSE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91812098,174.71782265, KIMBER HALL AVE,-36.9177872,174.71843423,60 KIMBER HALL AVE
-36.90654317,174.70792547,53 WHITNEY ST,-36.90959792,174.70895758, WHITNEY ST
-36.85771047,174.74659718,64 MACKELVIE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.69478108,174.7593406,61 CLIFF RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85776492,174.83913653,25 HAWERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91734038,174.74438093, VIC BUTLER ST,-36.8646979,174.759153,230 SYMONDS ST
-36.92232345,174.70290315,28 DONOVAN ST,-36.92128092,174.70595155,54 RATHLIN ST
-36.86345385,174.74069877, WILLIAMSON AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.9859977,174.84362885, PAH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90067823,174.74153977,9 LOUVAIN AVE,-36.90067823,174.74153977,9 LOUVAIN AVE
-36.8928221,174.7952597,9A ATARANGI RD,-36.8646979,174.759153,230 SYMONDS ST
-36.93931832,174.83926645,120 GREAT SOUTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87478707,174.7872233,28 RIDINGS RD,-36.87606987,174.78974763,13 RIDINGS RD
-36.87860047,174.77157547, OWENS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85675163,174.74485423,21 RICHMOND RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8793301,174.75097082,89 PROSPECT TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.87140093,174.74228103,34 SECOND AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.91322342,174.72826555,447 RICHARDSON RD,-36.91205657,174.72902083,10 MCGOWAN ST
-36.8618142,174.75232292,17 NIXON ST,-36.8646979,174.759153,230 SYMONDS ST
-36.88130928,174.7634693,10 STOKES RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87062613,174.74045832, THIRD AVE,-36.86991668,174.74444858, CENTRAL RD
-36.90648498,174.7220548,323 RICHARDSON RD,-36.90807613,174.72256255,14 MERSEY PL
-36.88328598,174.73880512,299 SANDRINGHAM RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8999711,174.80208487,14 WAIOHUA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91037955,174.8477835,17 JAMES WALTER PL,-36.91065955,174.84776075,29 JAMES WALTER PL
-36.87361874,174.7767796, EDGERLEY AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.8677841,174.75152012,7 AITKEN TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.93246743,174.65107212, KONINI RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85983347,174.7448793, SUSSEX ST,-36.8646979,174.759153,230 SYMONDS ST
-36.90012613,174.56568768,74 MOUNTAIN RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88071142,174.76384265,13 OAKLANDS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88493342,174.76261647,11 DISRAELI ST,-36.88517515,174.7638232,38 DISRAELI ST
-36.91371705,174.72874028,459 RICHARDSON RD,-36.91205657,174.72902083,10 MCGOWAN ST
-36.90861638,174.66889563, KOHEKOHE ST,-36.90861638,174.66889563, KOHEKOHE ST
-37.01515867,174.89236457, GREAT SOUTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87236085,174.77033255, GILGIT RD,-36.8646979,174.759153,230 SYMONDS ST
-36.82721498,174.79044965,28 KIWI RD,-36.82754603,174.79047398,22 KIWI RD
-36.91567417,174.8435854,7 ARTHUR BROWN PL,-36.8646979,174.759153,230 SYMONDS ST
-36.84798518,174.74282768, SHEEHAN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89176098,174.79480183, PURIRI AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.8635925,174.7792699,8 GEORGE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.85960963,174.74356,33 MURDOCH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90992155,174.74986707, FROST RD,-36.91097477,174.75264048, BRITTON AVE
-36.90992155,174.74986707, FROST RD,-36.91016045,174.75221775,11 BRITTON AVE
-36.87393565,174.75524572, HOROEKA AVE,-36.87393565,174.75524572, HOROEKA AVE
-36.86059095,174.74894717, MACKELVIE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89575223,174.7041095,1232 NEW NORTH RD,-36.89493302,174.70546448,5 BOLLARD AVE
-36.86925512,174.75007247,344 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86393855,174.74663025,1 ARIKI ST,-36.8646979,174.759153,230 SYMONDS ST
-36.946701,174.66152522, VALLEY RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86140562,174.75261622, BURGOYNE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.90733413,174.72240792,335A RICHARDSON RD,-36.9066581,174.7214322,4 LABURNUM RD
-36.8793708,174.7680248, MARAMA AVE,-36.87977603,174.76790208,3 MARAMA AVE
-36.85979685,174.72570882, LARCHWOOD AVE,-36.85782308,174.72709988,15 LARCHWOOD AVE
-36.88563808,174.71419123,986 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87959835,174.81850818,675 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8913946,174.75851297,3 WAIRIKI RD,-36.8646979,174.759153,230 SYMONDS ST
-36.89723048,174.79893148, FERGUSON AVE,-36.89776085,174.79934178,21 FERGUSON AVE
-36.87078815,174.78180917,15 MAMIE ST,-36.8646979,174.759153,230 SYMONDS ST
-36.86623515,174.75807062,74 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87514027,174.7403226,9 ALTHAM AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.87183335,174.78015283,72 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88656367,174.7132741,1012 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85765383,174.7329936, HAKANOA ST,-36.8646979,174.759153,230 SYMONDS ST
-36.9217188,174.74810078,55a OAKDALE RD,-36.92140895,174.74838079,51 OAKDALE RD
-36.88242315,174.76353992,7 EGLINTON AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.8998825,174.86471538,17 DUNKIRK RD,-36.8646979,174.759153,230 SYMONDS ST
